log_template_id,port_id,entry_template,log_annotation_id
1,11,{timestamp} Reading input records from {input1_data_file_name},36
2,20,{timestamp} Reading input record {RecordID},63
3,24,{timestamp} Checking if {field_name} value is Empty - {check_result},76
4,29,{timestamp} {final_result} the record {RecordID},90
5,36,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: <{field_name_value}>,109
6,36,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {compliant_result}.",110
7,41,{timestamp} {final_result} the record {RecordID},123
8,53,{timestamp} UPDATING record {RecordID}: {field_name} from <{original_value}> to <{updated_value}>,151
9,57,{timestamp} {final_result} the record {RecordID},162
10,66,{timestamp} Wrote {accepted_record_count} ACCEPTED records to {output1_data_file_name},186
11,66,{timestamp} Wrote {rejected_record_count} UNABLE-to-validate records to {output1_data_file_name},187
12,71,{timestamp} Reading input records from {input2_data_file_name},208
13,77,{timestamp} Reading input record {RecordID},225
14,81,{timestamp} Checking if {field_name} value is Empty: {check_result},238
15,85,{timestamp} {final_result} the record {RecordID},250
16,89,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: <{field_name_value}>,263
17,89,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {match_result}.",264
18,92,{timestamp} UPDATING record {RecordID}: {field_name} from <{original_value}> to <{updated_value}>,275
19,97,{timestamp} {final_result} the record {RecordID},289
20,104,{timestamp} Wrote {accepted2_record_count} accepted records to {output2_data_file_name},312
21,104,{timestamp} Wrote {rejected2_record_count} UNABLE-to-validate records to {rejected2_data_file_name},313
